    ,URL                               ,Company
 33 ,startwhip.com.au                  ,"{'name': 'Yiyang Zhang', 'organization': 'The Trustee for Uniontosky Holdings Investment Trust', 'rawText': 'Registrant Contact Name: Yiyang Zhang'}"
 58 ,www.skywhip.com.au                ,"{'name': 'Yiyang Zhang', 'organization': 'UNIONTOSKY HOLDINGS INVESTMENT PTY LTD', 'rawText': 'Registrant Contact Name: Yiyang Zhang'}"
 16 ,nangme.com.au                     ,"{'name': 'Zain Hayat', 'organization': 'CUBIFEX PTY LTD', 'rawText': 'Registrant Contact Name: Zain Hayat'}"
 25 ,nangstuff.com.au                  ,"{'name': 'Zain Hayat', 'organization': 'Cubifex Pty Ltd', 'rawText': 'Registrant Contact Name: Zain Hayat'}"
 77 ,nangdelivery.com.au               ,"{'name': 'Zain Hayat', 'organization': 'Toheed Mursleen', 'rawText': 'Registrant Contact Name: Zain Hayat'}"
 15 ,nangdeliverysydney.com.au         ,"{'name': 'santhosh Hanumantharayappa', 'organization': 'Declan Brennan', 'rawText': 'Registrant Contact Name: santhosh Hanumantharayappa'}"
 86 ,nangsdeliver.com.au               ,"{'name': 'sheet kwan lee', 'organization': 'L.L Supply Pty Ltd', 'rawText': 'Registrant Contact Name: sheet kwan lee'}"
 23 ,nangsqueen.com.au                 ,"{'name': 'yongjiang zhang', 'organization': 'nangs courier', 'rawText': 'Registrant Contact Name: yongjiang zhang'}"
 76 ,nang-delivery.com.au              ,"{'name': 'zhen ling', 'organization': 'LING, ZHEN', 'rawText': 'Registrant Contact Name: zhen ling'}"
 47 ,www.nang-delivery.com.au          ,"{'name': 'zhen ling', 'organization': 'LING, ZHEN', 'rawText': 'Registrant Contact Name: zhen ling'}"
